date,rain_mm,week,year
2016-05-01,4.1,17,2016
2016-05-02,0.3,18,2016
2016-05-03,0.0,18,2016
2016-05-04,0.0,18,2016
2016-05-05,0.0,18,2016
2016-05-06,0.0,18,2016
2016-05-07,0.3,18,2016
2016-05-08,2.8,18,2016
2016-05-09,0.0,19,2016
2016-05-10,0.0,19,2016
2016-05-11,0.0,19,2016
2016-05-12,0.0,19,2016
2016-05-13,6.5,19,2016
2016-05-15,0.3,19,2016
2016-05-16,1.8,20,2016
2016-05-17,0.3,20,2016
2016-05-18,0.0,20,2016
2016-05-19,0.0,20,2016
2016-05-20,0.0,20,2016
2016-05-21,0.0,20,2016
2016-05-22,0.0,20,2016
2016-05-23,0.0,21,2016
2016-05-24,0.0,21,2016
2016-05-25,0.0,21,2016
2016-05-26,4.8,21,2016
2016-05-27,0.8,21,2016
2016-05-28,0.0,21,2016
2016-05-29,0.0,21,2016
2016-05-30,0.0,22,2016
2016-05-31,0.0,22,2016
2016-06-01,0.0,22,2016
2016-06-02,0.0,22,2016
2016-06-03,0.0,22,2016
2016-06-04,3.8,22,2016
2016-06-05,23.0,22,2016
2016-06-06,4.5,23,2016
2016-06-07,0.0,23,2016
2016-06-08,0.0,23,2016
2016-06-09,0.0,23,2016
2016-06-10,0.0,23,2016
2016-06-11,6.3,23,2016
2016-06-12,0.0,23,2016
2016-06-13,0.0,24,2016
2016-06-14,0.0,24,2016
2016-06-15,0.5,24,2016
2016-06-16,0.8,24,2016
2016-06-17,0.0,24,2016
2016-06-18,0.0,24,2016
2016-06-19,0.0,24,2016
2016-06-20,0.0,25,2016
2016-06-21,0.0,25,2016
2016-06-22,0.0,25,2016
2016-06-23,0.0,25,2016
2016-06-24,0.0,25,2016
2016-06-25,0.0,25,2016
2016-06-26,4.8,25,2016
2016-06-27,0.0,26,2016
2016-06-28,0.0,26,2016
2016-06-29,0.0,26,2016
2016-06-30,0.0,26,2016
2016-07-01,15.6,26,2016
2016-07-02,0.0,26,2016
2016-07-03,0.0,26,2016
2016-07-04,0.0,27,2016
2016-07-05,0.0,27,2016
2016-07-06,0.0,27,2016
2016-07-07,0.0,27,2016
2016-07-10,0.0,27,2016
2016-07-11,0.0,28,2016
2016-07-12,0.0,28,2016
2016-07-14,13.8,28,2016
2016-07-15,0.0,28,2016
2016-07-16,0.0,28,2016
2016-07-17,0.0,28,2016
2016-07-18,0.0,29,2016
2016-07-19,0.0,29,2016
2016-07-20,0.0,29,2016
2016-07-21,0.0,29,2016
2016-07-22,0.0,29,2016
2016-07-23,0.0,29,2016
2016-07-24,0.0,29,2016
2016-07-25,26.5,30,2016
2016-07-26,0.0,30,2016
2016-07-28,0.0,30,2016
2016-07-29,0.0,30,2016
2016-08-01,0.0,31,2016
2016-08-04,0.0,31,2016
2016-08-05,0.0,31,2016
2016-08-06,0.0,31,2016
2016-08-08,0.0,32,2016
2016-08-09,1.3,32,2016
2016-08-10,0.5,32,2016
2016-08-11,0.0,32,2016
2016-08-13,7.1,32,2016
2016-08-14,0.0,32,2016
2016-08-15,2.8,33,2016
2016-08-16,16.6,33,2016
2016-08-17,0.0,33,2016
2016-08-18,0.0,33,2016
2016-08-19,0.0,33,2016
2016-08-20,3.2,33,2016
2016-08-21,0.5,33,2016
2016-08-22,0.0,34,2016
2016-08-23,0.0,34,2016
2016-08-25,21.4,34,2016
2016-08-26,0.0,34,2016
2016-08-27,0.0,34,2016
2016-08-28,0.0,34,2016
2016-08-29,0.0,35,2016
2016-08-30,0.0,35,2016
2016-08-31,0.0,35,2016
2016-09-01,0.0,35,2016
2016-09-02,0.0,35,2016
2016-09-03,0.0,35,2016
2016-09-04,0.0,35,2016
2016-09-05,0.0,36,2016
2016-09-06,0.0,36,2016
2016-09-07,26.1,36,2016
2016-09-08,1.0,36,2016
2016-09-09,0.0,36,2016
2016-09-10,4.8,36,2016
2016-09-11,0.0,36,2016
2016-09-12,0.0,37,2016
2016-09-13,0.0,37,2016
2016-09-14,0.0,37,2016
2016-09-15,0.0,37,2016
2016-09-16,0.0,37,2016
2016-09-17,10.3,37,2016
2016-09-23,1.3,38,2016
2016-09-24,0.0,38,2016
2016-09-25,0.0,38,2016
2016-09-26,10.3,39,2016
2016-09-27,0.0,39,2016
2016-09-28,0.0,39,2016
2016-09-29,5.0,39,2016
2016-09-30,0.0,39,2016
2017-05-01,22.4,18,2017
2017-05-05,26.5,18,2017
2017-05-08,0.0,19,2017
2017-05-09,0.0,19,2017
2017-05-10,0.0,19,2017
2017-05-11,0.0,19,2017
2017-05-12,0.0,19,2017
2017-05-13,1.0,19,2017
2017-05-14,0.8,19,2017
2017-05-15,0.0,20,2017
2017-05-18,0.0,20,2017
2017-05-19,0.0,20,2017
2017-05-20,0.0,20,2017
2017-05-21,11.9,20,2017
2017-05-22,0.0,21,2017
2017-05-23,0.0,21,2017
2017-05-25,55.6,21,2017
2017-05-27,0.0,21,2017
2017-05-28,0.0,21,2017
2017-05-30,8.3,22,2017
2017-05-31,1.6,22,2017
2017-06-01,0.0,22,2017
2017-06-02,0.0,22,2017
2017-06-03,0.0,22,2017
2017-06-04,6.9,22,2017
2017-06-07,0.0,23,2017
2017-06-08,0.0,23,2017
2017-06-09,0.0,23,2017
2017-06-10,0.0,23,2017
2017-06-11,0.0,23,2017
2017-06-12,0.0,24,2017
2017-06-13,0.0,24,2017
2017-06-15,0.0,24,2017
2017-06-17,0.0,24,2017
2017-06-18,1.4,24,2017
2017-06-20,11.7,25,2017
2017-06-22,10.9,25,2017
2017-06-23,28.6,25,2017
2017-06-24,0.0,25,2017
2017-06-25,2.0,25,2017
2017-06-27,2.0,26,2017
2017-06-29,4.4,26,2017
