week,date_range,avg_rainfall_mm,predicted_rainfall_mm
17,Apr 20 - Apr 26,1.8,1.8
18,Apr 27 - May 03,15.8,15.8
19,May 04 - May 10,4.6,4.6
20,May 11 - May 17,12.6,12.6
21,May 18 - May 24,18.4,18.4
22,May 25 - May 31,12.9,12.9
23,Jun 01 - Jun 07,14.3,14.3
24,Jun 08 - Jun 14,15.6,15.6
25,Jun 15 - Jun 21,23.3,23.3
26,Jun 22 - Jun 28,16.7,16.7
27,Jun 29 - Jul 05,8.2,8.2
28,Jul 06 - Jul 12,22.3,22.3
29,Jul 13 - Jul 19,32.1,32.1
30,Jul 20 - Jul 26,15.8,15.8
31,Jul 27 - Aug 02,11.2,11.2
32,Aug 03 - Aug 09,17.9,17.9
33,Aug 10 - Aug 16,14.1,14.1
34,Aug 17 - Aug 23,16.2,16.2
35,Aug 24 - Aug 30,6.1,6.1
36,Aug 31 - Sep 06,15.0,15.0
37,Sep 07 - Sep 13,10.7,10.7
38,Sep 14 - Sep 20,9.2,9.2
39,Sep 21 - Sep 27,12.6,12.6
40,Sep 28 - Oct 04,4.3,4.3
