year,week,rain_mm
2016,17,4.1
2016,18,3.4
2016,19,6.8
2016,20,2.1
2016,21,5.6
2016,22,26.8
2016,23,10.8
2016,24,1.3
2016,25,4.8
2016,26,15.6
2016,27,0.0
2016,28,13.8
2016,29,0.0
2016,30,26.5
2016,31,0.0
2016,32,8.899999999999999
2016,33,23.1
2016,34,21.4
2016,35,0.0
2016,36,31.900000000000002
2016,37,10.3
2016,38,1.3
2016,39,15.3
2017,18,48.9
2017,19,1.8
2017,20,11.9
2017,21,55.6
2017,22,16.8
2017,23,0.0
2017,24,1.4
2017,25,53.2
2017,26,19.8
2017,27,7.0
2017,28,11.5
2017,29,17.6
2017,30,7.6
2017,31,13.5
2017,32,3.5
2017,33,8.7
2017,34,2.0
2017,35,7.4
2017,36,15.7
2017,37,0.0
2017,38,0.0
2017,39,2.7
2018,18,14.8
2018,19,2.2
2018,20,22.9
2018,21,7.1
2018,22,10.700000000000001
2018,23,0.8
2018,24,5.5
2018,25,29.2
2018,26,10.9
2018,27,14.1
2018,28,0.0
2018,29,27.7
2018,30,14.1
2018,31,0.0
2018,32,107.1
2018,33,37.0
2018,34,51.0
2018,35,2.8
2018,36,1.5
2018,37,26.1
2018,38,0.0
2018,39,24.4
2019,18,28.5
2019,19,21.5
2019,20,10.8
2019,21,20.7
2019,22,6.8
2019,23,12.9
2019,24,51.800000000000004
2019,25,19.2
2019,26,35.2
2019,27,1.2
2019,28,20.2
2019,29,24.1
2019,30,2.7
2019,31,31.0
2019,32,8.0
2019,33,17.799999999999997
2019,34,2.2
2019,35,11.8
2019,36,7.300000000000001
2019,37,27.7
2019,38,0.2
2019,39,11.6
2019,40,0.0
2020,18,1.2000000000000002
2020,19,4.2
2020,20,18.7
2020,21,7.3
2020,22,10.4
2020,23,41.7
2020,24,16.4
2020,25,0.0
2020,26,4.6
2020,27,0.0
2020,28,40.0
2020,29,24.8
2020,30,19.8
2020,31,33.7
2020,32,22.8
2020,33,0.4
2020,34,15.5
2020,35,7.3
2020,36,3.3
2020,37,15.600000000000001
2020,38,0.0
2020,39,0.8
2020,40,17.3
2021,17,0.0
2021,18,6.3
2021,19,0.0
2021,20,0.0
2021,21,19.6
2021,22,8.4
2021,23,4.9
2021,24,19.700000000000003
2021,25,22.3
2021,26,29.4
2021,27,32.9
2021,28,22.8
2021,29,20.099999999999998
2021,30,21.1
2021,31,1.5
2021,32,2.4
2021,33,0.6
2021,34,2.2
2021,35,2.7
2021,36,48.3
2021,37,14.2
2021,38,51.599999999999994
2021,39,0.7
2022,17,1.4
2022,18,16.0
2022,19,0.0
2022,20,13.0
2022,21,2.5
2022,22,4.8
2022,23,40.5
2022,24,0.0
2022,25,0.2
2022,26,4.5
2022,27,6.8
2022,28,3.6999999999999997
2022,29,38.0
2022,30,0.2
2022,31,18.1
2022,32,0.8
2022,33,11.799999999999999
2022,34,41.5
2022,35,3.5
2022,36,0.0
2022,37,7.8
2022,38,22.7
2022,39,10.4
2023,18,20.4
2023,19,0.0
2023,20,21.8
2023,21,0.0
2023,22,2.0
2023,23,9.2
2023,24,54.8
2023,25,15.2
2023,26,14.0
2023,27,4.9
2023,28,43.0
2023,29,4.4
2023,30,46.0
2023,31,8.7
2023,32,8.8
2023,33,7.2
2023,34,4.4
2023,35,2.5
2023,36,6.9
2023,37,4.5
2023,38,0.7
2023,39,2.7
2024,18,6.300000000000001
2024,19,6.9
2024,20,7.4
2024,21,10.9
2024,22,38.2
2024,23,15.5
2024,24,4.2
2024,25,74.4
2024,26,25.0
2024,27,1.0
2024,28,58.7
2024,29,121.3
2024,30,12.4
2024,31,2.2
2024,32,16.4
2024,33,6.7
2024,34,0.0
2024,35,8.1
2024,36,8.9
2024,37,1.0
2024,38,1.2
2024,39,30.2
2024,40,0.0
2025,18,12.2
2025,19,2.3
2025,20,17.2
2025,21,54.9
2025,22,4.2
2025,23,6.6000000000000005
2025,24,0.7
2025,25,14.6
2025,26,8.0
2025,27,13.8
2025,28,9.5
2025,29,42.7
2025,30,7.800000000000001
2025,31,3.0
2025,32,0.0
2025,33,27.5
2025,34,22.099999999999998
2025,35,15.1
2025,36,26.2
2025,37,0.0
2025,38,14.3
2025,39,27.2
2025,40,0.0
